record_type,file,line_or_section,old_claim,corrected_empirical_fact,required_future_revision,status
claim,writing/submission_inversions_review/manuscript/main.tex,78-80 (Abstract),Three observed cabinet periods invert: two after 2014 and one after 2022.,Five observed cabinet periods invert: two after 2014; two after 2018; and one after 2022.,Change the count and election-year distribution after deciding how the revised argument should frame 2018.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,80-82 (Abstract),No observed inversion appears after the 2018 election because cabinet coalitions remain below 257 seats.,Periods 2021.3 and 2022.1 have 47.25% of the vote and exactly 257 seats and are observed inversions.,Replace the null-result sentence and reconsider the abstract's comparative framing.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,162-165 (Introduction result preview),Observed cabinet inversions occur after 2014 and 2022 but not after 2018.,Observed cabinet inversions occur after all three elections; the 2018 cases are 2021.3 and 2022.1.,Revise the result preview and the stated role of the 2018 mandate.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,165-168 (Introduction result preview),Cabinet and ideological analyses produce the same election-level contrast.,The two domains now diverge in 2018: two cabinet inversions but zero ideological-interval inversions.,Rewrite the comparison to emphasize the domain-specific 2018 result.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,595-596 (Observed cabinet chronology),None of the many 2018-linked cabinet changes reaches the inversion criterion.,Two 2018-linked configurations reach the criterion for 238 covered days.,Replace the negative characterization with the corrected chronology.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,596-602 (Observed cabinet chronology),The Bolsonaro sequence omits PSC and moves directly from 2020.3 to the PSL departure in 2020.4.,PSC enters on 2020-12-09 and remains through 2022-03-29; this creates new 2020.4 and 2020.5 periods and shifts later period numbering after March 2022.,Insert the PSC entry/exit and update period dates and labels.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,602-603 (Observed cabinet chronology),Periods 2021.3 and 2022.1 are the closest negative cases at 250 seats.,Both periods are inversions at 257 seats; the sole closest negative is 2022.2 (2022-03-30--31) at 250 seats.,Replace the closest-case claim and explain the one-day PL transition plus post-transition negative period.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,640-642 (Figure 2 discussion),There are 22 cabinet-period party sets; 21 have R_C>1 and only 2020.2 does not.,There are 24 periods; 21 have R_C>1; 2020.2; 2020.4; and 2021.1 are the three exceptions.,Update the denominator and exception list.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,643-646 (Figure 2 discussion),The entire 2018-linked sequence remains a seat minority.,Periods 2021.3 and 2022.1 are seat majorities without vote majorities.,Revise the Figure 2 interpretation to show the 2018 threshold crossing.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,683-689 (Observed inversion comparison),The three observed inversions are compared without any 2018 case.,There are five observed inversions; the two PSC-inclusive 2018 periods have R_C=1.0603; d_C=r_C=14.6237; and 257 seats.,Expand or redesign the comparison only after the repaired empirical framing is approved.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,691-697 (Algorithmic negative cases),The negative-case rule retains tied 2021.3 and 2022.1 at 250 seats.,Those periods now invert; 2022.2 is the sole closest 2018 negative at 250 seats and lasts two days.,Replace the tied-negative discussion; do not reuse it as a decomposition-case choice without review.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,716-722 (Duration summary),The mandate after 2018 has no inversion days.,The mandate after 2018 has 238 inversion days: 188 in 2021.3 and 50 in 2022.1.,Update the duration comparison and its substantive interpretation.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,984-989 (Discussion),The 2018-linked mandate is a control case because Bolsonaro cabinets never reach 257 seats.,PSC-inclusive Bolsonaro cabinets reach exactly 257 seats in two periods.,Reconsider rather than mechanically patch the control-case role of 2018.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,989-994 (Discussion),Several 2018 cabinets have positive differentials and the closest cases have 250 seats but none changes majority status.,Two 2018 cabinets change majority status; the closest remaining negative has 250 seats only after PSC leaves on 2022-03-30.,Rewrite the configuration-dependence comparison around the corrected transition.,stale
claim,writing/submission_inversions_review/manuscript/main.tex,1078-1085 (Conclusion),No cabinet inversion appears after 2018.,Two cabinet inversions appear after 2018 while the ideological interval result remains null.,Revise the cross-election conclusion while preserving the unchanged ideological result.,stale
