sensitivity_id,start,end,kind
transition-person-20d6d1c35408,2020-06-16,2020-06-18,potential_set_change
transition-person-87ad75f8d2f9,2020-09-04,2020-09-19,potential_set_change
transition-person-c65a317c70db,2022-03-01,2022-03-04,composition_neutral
environment-2018-succession,2018-04-06,2018-04-07,composition_neutral
justice-2026-entry,2026-01-13,2026-01-15,composition_neutral
mdic-2018-succession,2018-01-03,2018-01-05,composition_neutral
mre-2021-effective-entry,2021-03-30,2021-03-31,unbounded_personal_alternative
sabino-2023-return,2023-12-04,2023-12-06,potential_set_change
sabino-2025-nov-return,2025-11-14,2025-11-17,potential_set_change
affiliation-49705e8c67b1@service-jair_bolsonaro-0-11,2022-12-21,2023-01-01,completion_blocker
affiliation-70f5e8999fb8@service-michel_temer-0-35,2017-02-22,2017-03-07,source_notation_adjudication_no_specific_alternative
affiliation-7f51ac18f31f@service-michel_temer-0-46,2017-02-22,2017-03-07,composition_neutral
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,2016-03-28,2016-04-21,composition_neutral
affiliation-8527ce77d2d2@service-michel_temer-0-64,2016-06-17,2016-10-05,composition_neutral
affiliation-92b6d60a8748@service-jair_bolsonaro-0-52,2020-06-16,2020-06-18,primary_adjudication_with_set_changing_alternative
affiliation-9e07f91b8db4@service-michel_temer-0-7,2017-11-13,2017-11-22,source_notation_adjudication_no_specific_alternative
affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31@service-C034-carlos-henrique-menezes-sobral,2018-12-31,2019-01-01,completion_blocker
affiliation-C035-ivani-dos-santos-2016-11-25@service-C035-ivani-dos-santos,2016-11-25,2017-02-03,completion_blocker
affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02@service-C035-ivani-dos-santos-2017-08-02,2017-08-02,2017-08-03,completion_blocker
affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20@service-C035-ivani-dos-santos-2017-10-20,2017-10-20,2017-10-26,completion_blocker
affiliation-C036-jonathas-assuncao-salvador-nery-de-castro-2022-12-30@service-C036-jonathas-assuncao-salvador-nery-de-castro,2022-12-30,2023-01-01,completion_blocker
affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10,2016-10-10,2016-10-11,composition_neutral
affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25,2016-10-25,2016-10-26,composition_neutral
affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26@service-C041-paulo-pedrosa-2017-04-26,2017-04-26,2017-04-27,composition_neutral
affiliation-C041-paulo-pedrosa-2017-08-02-2017-08-02@service-C041-paulo-pedrosa-2017-08-02,2017-08-02,2017-08-03,composition_neutral
affiliation-C041-paulo-pedrosa-2017-10-18-2017-10-18@service-C041-paulo-pedrosa-2017-10-18,2017-10-18,2017-10-26,composition_neutral
affiliation-C041-paulo-pedrosa-2018-04-06-2018-04-06@service-C041-paulo-pedrosa-2018-04-06,2018-04-06,2018-04-10,composition_neutral
affiliation-C044-helder-melillo-lopes-cunha-silva-2022-12-30@service-C044-helder-melillo-lopes-cunha-silva,2022-12-30,2023-01-01,primary_adjudication_with_set_changing_alternative
affiliation-C053-alberto-alves@service-C053-person-9cf6aaca0bc9,2018-04-06,2018-04-10,composition_neutral
affiliation-C056-renato-de-lima-franca-2020-04-28@service-C056-renato-de-lima-franca,2020-04-28,2020-04-29,completion_blocker
affiliation-C057-marcos-paulo-cardoso-coelho-da-silva-2020-02-14@service-C057-marcos-paulo-cardoso-coelho-da-silva,2020-02-14,2020-02-18,completion_blocker
affiliation-C058-sergio-jose-pereira-2021-03-30@service-C058-sergio-jose-pereira,2021-03-30,2021-04-01,completion_blocker
affiliation-C059-jonathas-2021@service-C059-person-jonathas-assuncao-salvador-nery-de-castro,2021-03-30,2021-03-31,completion_blocker
affiliation-C060-luiz-pontel-de-souza-2020-04-24@service-C060-luiz-pontel-de-souza,2020-04-24,2020-04-29,completion_blocker
affiliation-C063-otavio-brandelli-2021-03-30@service-C063-otavio-brandelli,2021-03-30,2021-03-31,completion_blocker
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0,2023-11-30,2023-12-04,composition_neutral
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3,2025-02-01,2025-02-03,composition_neutral
affiliation-abe479fc17e2@service-jair_bolsonaro-0-15,2022-03-01,2022-03-04,composition_neutral
affiliation-aef121686045@service-58f6ac35cb5d,2018-04-10,2018-05-28,source_notation_adjudication_no_specific_alternative
affiliation-b2eb8d8beb97@service-jair_bolsonaro-0-63,2020-09-04,2020-09-19,primary_adjudication_with_set_changing_alternative
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32,2016-04-14,2016-04-19,composition_neutral
affiliation-e330badabc4e@service-jair_bolsonaro-0-36,2020-12-31,2021-02-12,source_notation_adjudication_no_specific_alternative
