section,line,anchor,current,reason,new,source,kind,group,priority
Abstract,71,following all three elections,"\begin{abstract} Proportional representation is usually evaluated party by party, by comparing each party's share of seats with its share of votes. Yet fragmented legislatures are governed through combinations of parties, so small party-level deviations can become consequential when parties are combined. Brazil provides a useful setting because the Chamber of Deputies is assembled from twenty-seven separate district elections. Several institutional steps separate national votes from final party seat totals, and no national compensatory allocation reconciles them. I ask whether politically meaningful sets of parties can hold a legislative majority despite receiving less than half of all valid federal-deputy votes nationwide, a condition known as coalition inversion. Using the 2014, 2018, and 2022 elections, I follow the party sets represented in presidential cabinets and examine potential coalitions restricted by ideological proximity. Cabinet inversions appear following all three elections, as do inversions among minimal connected winning coalitions. In 2022, a seven-party bloc of ideologically adjacent parties combined 45.26 percent of the vote with 258 of 513 seats. Party-level deviations from proportionality can therefore have a distinct coalition-level consequence: they can determine which combinations of parties command a legislative majority.",The cabinet and ideological domains no longer have the same election coverage.,"53 analytical periods; 2 inversions, Dilma II/2014 (5 days) and Lula III/2022 (255 days); zero primary inversions linked to 2018 or under Temer.",generated/cabinet_v5/cabinet_inversions.csv,factual,A,BLOCKING
Introduction,195,The empirical pattern spans both,"The empirical pattern spans both coalition domains and all three election cycles. Realized cabinet inversions and inversions among minimal connected winning coalitions appear following the 2014, 2018, and 2022 elections. The 2022 cases include a compact right-side bloc with 45.26 percent of the vote and 258 seats. Within-district and between-district components reinforce one another in some inversions and offset one another in others.",The introduction result preview conflates cabinet and ideological coverage.,"53 analytical periods; 2 inversions, Dilma II/2014 (5 days) and Lula III/2022 (255 days); zero primary inversions linked to 2018 or under Temer.",generated/cabinet_v5/cabinet_inversions.csv,factual,A,BLOCKING
Data and operationalization,741,Wikipedia cabinet-member lists,"Cabinet composition is reconstructed from the Brazilian Wikipedia cabinet-member lists for the Dilma Rousseff, Michel Temer, Jair Bolsonaro, and Lula III administrations. These records identify each office, incumbent, party affiliation, and dates of entry and exit. A cabinet period lasts as long as the set of parties holding ministries or ministry-level offices remains unchanged. The entry or exit of a party begins a new period.",Wikipedia extraction alone no longer describes the analytical source.,"Describe the standalone officeholder-level released chronology, separate service and contemporaneous affiliation records, scope/closing-state rules, dated witnesses, evidence and decisions; identify the single V5 release pin.",generated/cabinet_v5/provenance.json; V5 CODEBOOK.md,methodological,B,BLOCKING
Data and operationalization,741,A cabinet period lasts,"Cabinet composition is reconstructed from the Brazilian Wikipedia cabinet-member lists for the Dilma Rousseff, Michel Temer, Jair Bolsonaro, and Lula III administrations. These records identify each office, incumbent, party affiliation, and dates of entry and exit. A cabinet period lasts as long as the set of parties holding ministries or ministry-level offices remains unchanged. The entry or exit of a party begins a new period.",The described period object and operation order are stale.,State that daily historical sets are mapped to the corresponding election-year identities BEFORE maximal consecutive recompression. Historical label or merger events alone do not create analytical periods.,generated/cabinet_v5/cabinet_analysis_periods.csv; historical_analytical_linkage.csv,methodological,B,BLOCKING
Data and operationalization,749,2026. Periods are first delimited,"The 2014 election is linked to the cabinet sequence from January 1, 2015 through December 31, 2018, and the 2018 election to the sequence from January 1, 2019 through December 31, 2022. The 2022 election is linked to the observed Lula III period, from January 1, 2023 through March 19, 2026. Periods are first delimited using the party labels observed in cabinet. These labels are then translated into those used in the corresponding election, and coalition votes and seats are obtained by summing the member-party totals. Renames are matched to earlier labels, while parties formed through fusion are mapped to their constituent election-year parties.\footnote{Periods 2021.3 and 2022.1 are separated by the February 8, 2022 fusion of DEM and PSL into UNIÃO. When linked to the 2018 election, UNIÃO maps back to DEM and PSL, leaving the party set used for the vote-seat comparison unchanged. They are therefore combined in the analysis.} Appendix~\ref{app:composition} reports the cabinet sequence used in the analysis, and the replication materials document the party translations.\footnote{The replication materials are available at \url{https://anonymous.4open.science/r/electoral-inversion-B6B5/README.md}.}",Daily mapping precedes analytical period boundaries; the old 2021.3/2022.1 example refers to superseded identifiers.,Retain election windows; distinguish 55 historical periods from 53 analytical periods; document the audited stable identities and merger expansion. Replace obsolete example identifiers only after consulting historical_analytical_linkage.csv.,generated/cabinet_v5/cabinet_analysis_periods.csv,methodological,B,BLOCKING
Data and operationalization,749,reports the cabinet sequence used,"The 2014 election is linked to the cabinet sequence from January 1, 2015 through December 31, 2018, and the 2018 election to the sequence from January 1, 2019 through December 31, 2022. The 2022 election is linked to the observed Lula III period, from January 1, 2023 through March 19, 2026. Periods are first delimited using the party labels observed in cabinet. These labels are then translated into those used in the corresponding election, and coalition votes and seats are obtained by summing the member-party totals. Renames are matched to earlier labels, while parties formed through fusion are mapped to their constituent election-year parties.\footnote{Periods 2021.3 and 2022.1 are separated by the February 8, 2022 fusion of DEM and PSL into UNIÃO. When linked to the 2018 election, UNIÃO maps back to DEM and PSL, leaving the party set used for the vote-seat comparison unchanged. They are therefore combined in the analysis.} Appendix~\ref{app:composition} reports the cabinet sequence used in the analysis, and the replication materials document the party translations.\footnote{The replication materials are available at \url{https://anonymous.4open.science/r/electoral-inversion-B6B5/README.md}.}",The data section currently omits V5 provisional coverage and sensitivity handling.,"4,096 primary days: 3,996 evidence-established and 100 provisional. Both primary inversions use only evidence-established days. Nine unresolved officeholders retain UNKNOWN affiliations; the separate primary assumption contributes no additional party. Include concrete date/affiliation sensitivities, their results, and limits of unbounded UNKNOWN affiliations.",generated/cabinet_v5/cabinet_inversions.csv; generated/cabinet_v5/cabinet_sensitivity_results.csv; provenance.json,limitation/provenance,B,BLOCKING
Cabinet coalitional inversions,988,Four of the twenty-three,"Four of the twenty-three cabinet periods combine a Chamber majority with less than half of the national federal-deputy vote. They occur under all four administrations, but differ in their distance from a vote majority, the size of their seat advantage, and their duration. Table~\ref{tab:cabinet-inversions} reports these periods and the within-district and between-district components of their differentials.",Both the denominator and case identities changed.,"53 analytical periods; 2 inversions, Dilma II/2014 (5 days) and Lula III/2022 (255 days); zero primary inversions linked to 2018 or under Temer.",generated/cabinet_v5/cabinet_inversions.csv,numerical,A,BLOCKING
Cabinet coalitional inversions,1029,The first inversion emerges,"The first inversion emerges during the contraction of Dilma Rousseff's cabinet in April 2016. After PRB and PP leave, the remaining parties retain 259 seats with 46.54 percent of the 2014 vote. Exact national proportionality would assign them 238.73 seats, leaving them 18.27 seats short of a Chamber majority. Their 20.27-seat differential, corresponding to \(R_C=1.085\), is therefore sufficient to preserve the majority. This configuration, period 2016.2, lasts two days and ends with PSD's departure.",The old period ID and two-day duration are stale; do not infer a party exit from the old endpoints.,"The same Dilma party vector survives as 2016.3 / CV5-005, April 14-18 inclusive (5 days). Numerical coalition quantities survive. Released transitions record REPUBLICANOS leaving March 18, PP leaving April 14, and PSD leaving April 19; distinguish these events when revisiting the start/end explanation.",generated/cabinet_v5/cabinet_analysis_before_after.csv (comparison_baseline=manuscript_reported); V5 transitions.csv,factual,A,BLOCKING
Cabinet coalitional inversions,1061,The later Temer inversion begins,"The later Temer inversion begins after PTB leaves the cabinet in December 2017. The remaining parties retain 266 seats with 49.91 percent of the vote. Their proportional quota is 256.05 seats, only 0.95 seats below the majority threshold. A differential of 9.95 seats and \(R_C=1.039\) therefore produce a larger seat majority than in the Dilma episode despite a substantially smaller representational advantage. The comparison shows that the political consequence of a coalition's differential depends on its proportional distance from 257 seats: a party set already close to a vote majority requires much less overrepresentation to cross the legislative threshold. This configuration persists for 100 days.",This entire example and its threshold comparison rely on a removed historical configuration.,"No Temer primary analytical period is an inversion. Over the old interval, initial V5 membership adds PR, PRB and PTB and removes PSB, giving 312 seats and 57.8279279843202% of votes. Subsequent sets have 302, 268 and 247 seats; the 268-seat interval still has 50.03050576961592% of votes. None inverts.",generated/cabinet_v5/cabinet_analysis_before_after.csv (comparison_baseline=manuscript_reported),interpretive,C,BLOCKING
Cabinet coalitional inversions,1096,The cabinet sequence linked to the 2018,"The cabinet sequence linked to the 2018 election reveals a different relationship. Following NOVO's departure, PP's entry in August 2021 brings the cabinet party set to exactly 257 seats with 47.25 percent of the vote. Its proportional quota of 242.38 seats leaves a 14.62-seat gap, exactly matched by its differential, with \(R_C=1.060\). This configuration continues for 238 days, from August 4, 2021 through March 29, 2022. PSC's departure then reduces the coalition from 257 to 250 seats and ends the inversion. Yet PSC itself was underrepresented. Removing it therefore lowers the coalition's proportional quota by more than it lowers its actual seat total, increasing the remaining coalition's differential from 14.62 to 16.60 seats. The coalition is thus more overrepresented relative to its vote share, but no longer holds a Chamber majority. This distinguishes overrepresentation from inversion: the former compares a coalition's seats with its proportional quota, whereas the latter requires a coalition with less than half of the vote to cross the 257-seat majority threshold.","The concrete cabinet example no longer exists, even though its abstract threshold distinction remains mathematical.","No V5 primary 2018-linked cabinet period inverts. During August 4, 2021-March 23, 2022, the V5 set excludes PATRIOTA and PSDB relative to the old example: 222 seats and 39.79336317736909% of votes. Subsequent March transitions produce 187 or 158 seats. The former 257-seat, 238-day episode is absent; revisit the proposed NOVO/PP/PSC transition and overrepresentation example.",generated/cabinet_v5/cabinet_analysis_before_after.csv (comparison_baseline=manuscript_reported),interpretive; transition,C,BLOCKING
