discrepancy_id,person,office,service_ids,disposition,evidence_ids,rationale,remaining_limitation
OCC-001,Marcos Pereira,MDIC,service-eabeba688ae4,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-578;OFF-003;OFF-012;OFF-013;OFF-049,Add actual MDIC service with effective endpoints and dated PRB affiliation.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;R07. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-002,Marcos Jorge de Lima,MDIC,service-3e4783281846,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-579;OFF-013;OFF-018;OFF-049;OFF-050,Add vacancy acting service followed by any titular appointment. A capacity change alone need not change the party set.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;R07. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-003,Geddel Vieira Lima,Secretaria de Governo,service-c1cbf25fecd8,reviewed_integrated_with_explicit_residual_unknowns,OFF-003;OFF-012;OFF-013,Add qualifying service; keep occupancy gaps unresolved until acting or vacancy evidence is found.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-004,Antônio Imbassahy,Secretaria de Governo,service-f103a0f5f74a,reviewed_integrated_with_explicit_residual_unknowns,C035;OFF-003;OFF-012;OFF-013,Add qualifying service; keep occupancy gaps unresolved until acting or vacancy evidence is found.,Current unresolved dependencies and date alternatives are exported separately; consult C035;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-005,Carlos Marun,Secretaria de Governo,service-13f7c2c1b899,reviewed_integrated_with_explicit_residual_unknowns,C034;OFF-003;OFF-012;OFF-013,Add qualifying service; keep occupancy gaps unresolved until acting or vacancy evidence is found.,Current unresolved dependencies and date alternatives are exported separately; consult C034;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-006,Edson Duarte,Meio Ambiente,service-c8d1b1f769cc,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-590;OFF-015;OFF-016;OFF-017,Add acting service during vacancy and any later titular capacity; resolve final date from evidence.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;R08. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-007,Joaquim de Lima Oliveira,Secretaria-Geral,service-58f6ac35cb5d,reviewed_integrated_with_explicit_residual_unknowns,C026;C028;OCC-005;OFF-002,Retain an unresolved occupancy candidate between Moreira Franco and Ronaldo Fonseca.,Current unresolved dependencies and date alternatives are exported separately; consult C026;C028;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-008,Cristiane Brasil,Trabalho,service-b24313cd2009,reviewed_integrated_with_explicit_residual_unknowns,OFF-002;OFF-014,"Retain nomination and court events, with no service spell unless entry evidence exists.",Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-009,Onyx Lorenzoni,Ministro extraordinário da transição,service-bc14f461caeb,reviewed_integrated_with_explicit_residual_unknowns,OFF-031;OFF-031–OFF-034;OFF-032;OFF-033,Include actual extraordinary minister service and retain transition purpose as metadata.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;R30. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-010,Geraldo Alckmin,Coordenação da transição CETG-VII,service-71735bd182fd,reviewed_integrated_with_explicit_residual_unknowns,OFF-031;OFF-033;OFF-034,Exclude the CETG role under the legal Minister of State criterion; retain the rejected source candidate.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-011,Onyx Lorenzoni,Trabalho e Previdência,service-9652707b0ac0,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-636;OFF-023;OFF-024;OFF-031–OFF-034,"Add actual service in the ministry created in 2021; document DEM, UNIÃO and PL events only where supported.",Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;R30. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-012,José Carlos Oliveira,Trabalho e Previdência,service-df493137b62f,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-637;OFF-023;OFF-025,"Add qualifying officeholding beginning with the documented March 31, 2022 appointment and possession.",Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-013,Roberto Campos Neto,Presidência Banco Central,service-31568cb97b5d,reviewed_integrated_with_explicit_residual_unknowns,BOL-E10;OFF-019;OFF-020;OFF-021;OFF-022,Include service while Minister of State status lasts; exclude the presidency after LC179 takes effect.,Current unresolved dependencies and date alternatives are exported separately; consult BOL-A03;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
