decision_id,disposition,evidence_ids,rationale,alternatives
ATLAS-551,selected_documented_service_or_scope_correction,ATLAS-551,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
ATLAS-554,selected_documented_service_or_scope_correction,ATLAS-554,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
ATLAS-694,selected_documented_service_or_scope_correction,ATLAS-694,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
ATLAS-706,selected_documented_service_or_scope_correction,ATLAS-706,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
LUL-B01,selected_documented_service_or_scope_correction,,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-005,selected_documented_service_or_scope_correction,OFF-005,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-006,selected_documented_service_or_scope_correction,OFF-006,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-007,selected_documented_service_or_scope_correction,OFF-007,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-011,selected_documented_service_or_scope_correction,OFF-011,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-029,selected_documented_service_or_scope_correction,OFF-029,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-037,selected_documented_service_or_scope_correction,OFF-037,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-038,selected_documented_service_or_scope_correction,OFF-038,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-039,selected_documented_service_or_scope_correction,OFF-039,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-041,selected_documented_service_or_scope_correction,OFF-041,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-042,selected_documented_service_or_scope_correction,OFF-042,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-044,selected_documented_service_or_scope_correction,OFF-044,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-045,selected_documented_service_or_scope_correction,OFF-045,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFF-046,selected_documented_service_or_scope_correction,OFF-046,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFFICE-CAPACITY-2017,selected_documented_service_or_scope_correction,,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFFICE-CAPACITY-2018,selected_documented_service_or_scope_correction,,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFFICE-CAPACITY-2020,selected_documented_service_or_scope_correction,,Service/affiliation correction cites this enclosed evidence or operational decision; exact dates and limitations retained on referenced rows.,See source date semantics and evidence table.
OFFICE-ADJUDICATION,selected_operational_rule,,Add documented missing Minister of State offices and named actual holders; preserve source and decision qualifications.,Unknown affiliations/occupancy remain explicit.
OFFICE-COVERAGE-SCREEN,selected_operational_rule,,"Every internal named-holder gap retained as unknown occupancy, never silently as known vacancy.",Unknown affiliations/occupancy remain explicit.
PERSON-CONTINUITY-REVIEW,selected_operational_rule,,Retain supported personal affiliation forward after targeted local change/contradiction search; never reset at portfolio transfer; no backward projection from later observation.,Unknown affiliations/occupancy remain explicit.
POPULATION-REVIEW,selected_operational_rule,,"Import reviewed qualifying officeholding with source date semantics, not frozen affiliation; audit/Atlas comparisons and specific corrections govern.",Unknown affiliations/occupancy remain explicit.
C053,completion_adjudication,C053,Alberto remained executive secretary between his 2016 acting period and Marx Beltrão departure; official acting-minister acts dated April 6 corroborate vacancy service. Explicit 2016 historical independent status supports a primary continuity inference in that uninterrupted executive-secretary tenure. Retain MDB as a credible alternative from the inherited competing compilation; MDB is independently represented throughout the four-day ministerial spell.,"[""MDB"",""UNAFFILIATED""]"
C074,completion_adjudication,C074,"Folhapress January25 2023 personally characterizes Carlos Henrique Menezes Sobral as a cadre of MDB, in a sentence distinct from the report of his sponsorship. Accept this credible contemporary personal party label as a qualified primary MDB adjudication from that date, with forward continuity through later qualifying vacancy service. Retain UNAFFILIATED as a credible alternative because the qualified cadre description could reflect a party-adjacent professional rather than formal registration. This is not an exact affiliation certificate or a conclusion from his ministry sponsor. Current TSE municipal-list non-matches cannot negate the label or prove non-affiliation. Targeted searches and the original 2021 Alepi biographical proposal yielded no specific competing affiliation event. Do not backproject the 2023 label to his December31 2018 service, which remains a separate unresolved affiliation dependency. The alternative is composition-neutral only where other qualifying MDB ministers independently establish MDB representation.","[""MDB"",""UNAFFILIATED""]"
C071,completion_adjudication,C071,"Adjudicate primary NOVO for Helder’s December30–31 2022 service from the exact-identity TSE historical entry dated October28 2017 and still-REGULAR official record. Preserve the conflicting dtDesfiliacao February3 2021, pending marker, null cancellation/exclusion and null tsCadastroDesfiliacao. UNAFFILIATED remains a credible alternative for the whole service. Neither reasoncode2 nor the legacy API date-field migration has been fully decoded: do not call the departure definitely voluntary, definitively only party-entered, or a completed judicial cancellation. TSE manuals describe regular records with pending departure/cancellation, while Resolution23.596 articles21 and24 distinguish possible legal termination paths. These explain the conflict but do not settle this individual’s exact legal event. The primary is an explicitly uncertain formal-registry adjudication, not legal certainty or generic continuity overriding a known event. Current municipal-list non-matches for other people are not non-affiliation evidence.","[""NOVO"",""UNAFFILIATED""]"
