research_id,dependency_id,person_name,service_intervals,name_variants,query_family,saved_result_files,source_review_finding,unresolved_fact,search_date,completion_status
completion-search-561613fe4a6e,person-561613fe4a6e,Maria Estella Dantas Antonichelli,2022-12-21/2023-01-01,Estella Dantas;Maria Estella Dantas Antonichelli,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches; original Telebras eligibility minutes/Form C scope; official MCom service roll and statutory substitute rule,research/completion/web_014.txt;research/completion/web_025.txt;research/completion/web_026.txt;research/completion/web_048.txt;research/completion/web_065.txt;research/completion/web_067.txt;research/completion/web_073.txt;research/completion/web_074.txt;research/completion/web_097.txt;research/completion/web_197.txt;research/completion/web_218.txt;research/completion/web_249.txt;research/completion/web_253.txt;research/completion/web_287.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/refinement_v5/worker_5_bolsonaro_2022/RESEARCH.md;research/refinement_v5/worker_5_bolsonaro_2022/sources/fetch_manifest.json,"Full-name and legal-name variants, 2022 resignation/office reporting, ministerial directory and board material inspected. A PSD news byline and Fabio Faria employment are not her own membership. Board independence is not non-affiliation. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. V5: Telebras 57th eligibility committee minutes of February 11 2022 review her Form C signed December 14 2021 and state that requirements/impediments were answered yes/no. Those are fiscal-council eligibility assertions, not an explicit personal non-affiliation declaration. The original proposal and 283rd board assessment address credentials and eligibility. No named personal party or universal non-affiliation observation is established. Prior PSD byline, Fabio Faria employment, and scoped registry non-matches remain insufficient; retain UNKNOWN. Official MCom 2022 responsibility roll, updated January 2 2023, dates Fabio Faria dismissal December 21 2022 and lists Maria Estella Dantas Antonichelli as the continuing executive secretary. Decree 8851/2016 article 1 III supplies the executive-secretary substitute during vacancy, absent a specific presidential designation. The December 21 2022 interministerial order 6672, published January 3 2023, identifies Estella as Ministra de Estado das Comunicacoes Substituta; C028 independently records her December 30 substitute signature. Correct inherited capacity titular to vacancy_acting without changing the service interval [2022-12-21,2023-01-01). The January publication date of order 6672 is not an extension of ministerial service.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
completion-search-carlos-henrique-menezes-sobral,person-carlos-henrique-menezes-sobral,Carlos Henrique Menezes Sobral,2018-12-31/2019-01-01;2023-11-30/2023-12-04;2025-02-01/2025-02-03,Carlos Henrique Menezes Sobral;Carlos Sobral,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches;SGIP3 historical governing bodies valid December31 2018 national/DF/BA/SE;Filia scoped Salvador/Aracaju and DF identity matching;original final-day service acts and statutory substitute rule,research/completion/web_039.txt;research/completion/web_041.txt;research/completion/web_075.txt;research/completion/web_076.txt;research/completion/web_084.txt;research/completion/web_085.txt;research/completion/web_086.txt;research/completion/web_092.txt;research/completion/web_109.txt;research/completion/web_189.txt;research/completion/web_196.txt;research/completion/web_198.txt;research/completion/web_268.txt;research/completion/web_269.txt;research/followup_root/web_registry_10.json;research/followup_ivani/sobral_alepi_pdl32_2021_ocr.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/refinement_v5/worker_2_temer_end/RESEARCH.md;research/refinement_v5/worker_2_temer_end/sources/sgip_ba_20181231.json;research/refinement_v5/worker_2_temer_end/sources/sgip_df_20181231.json;research/refinement_v5/worker_2_temer_end/sources/sgip_members_263115_scoped.json;research/refinement_v5/worker_2_temer_end/sources/sgip_members_263816_scoped.json;research/refinement_v5/worker_2_temer_end/sources/sgip_members_70945_scoped.json;research/refinement_v5/worker_2_temer_end/sources/sgip_members_70946_scoped.json;research/refinement_v5/worker_2_temer_end/sources/sgip_members_94158_scoped.json;research/refinement_v5/worker_2_temer_end/sources/sgip_national_20181231.json;research/refinement_v5/worker_2_temer_end/sources/sgip_se_20181231.json;research/refinement_v5/worker_2_temer_end/sources/tse_BA_182.json;research/refinement_v5/worker_2_temer_end/sources/tse_BA_38.json;research/refinement_v5/worker_2_temer_end/sources/tse_BA_42.json;research/refinement_v5/worker_2_temer_end/sources/tse_BA_51.json;research/refinement_v5/worker_2_temer_end/sources/tse_BA_69.json;research/refinement_v5/worker_2_temer_end/sources/tse_DF_42.json;research/refinement_v5/worker_2_temer_end/sources/tse_SE_182.json;research/refinement_v5/worker_2_temer_end/sources/tse_SE_38.json;research/refinement_v5/worker_2_temer_end/sources/tse_SE_42.json;research/refinement_v5/worker_2_temer_end/sources/tse_SE_51.json;research/refinement_v5/worker_2_temer_end/sources/tse_SE_69.json;research/refinement_v5/worker_2_temer_end/sources/dou20190101.pdf;research/refinement_v5/worker_2_temer_end/sources/web_012.json,"Official Presidency responsibilities and 2023 Folha account establish career/identity. MDB sponsorship and an ex-adviser description do not establish personal affiliation in December 2018. Folhapress January25 2023 personally characterizes Carlos Henrique Menezes Sobral as a cadre of MDB, in a sentence distinct from the report of his sponsorship. Accept this credible contemporary personal party label as a qualified primary MDB adjudication from that date, with forward continuity through later qualifying vacancy service. Retain UNAFFILIATED as a credible alternative because the qualified cadre description could reflect a party-adjacent professional rather than formal registration. This is not an exact affiliation certificate or a conclusion from his ministry sponsor. Current TSE municipal-list non-matches cannot negate the label or prove non-affiliation. Targeted searches and the original 2021 Alepi biographical proposal yielded no specific competing affiliation event. Do not backproject the 2023 label to his December31 2018 service, which remains a separate unresolved affiliation dependency. The alternative is composition-neutral only where other qualifying MDB ministers independently establish MDB representation. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. v5: Historical SGIP3 governing-body screening and new scoped Filia geography/identity checks did not establish a dated 2018 personal affiliation. Returned governing members are not an exhaustive affiliate universe, and current-list absence cannot show historical non-affiliation. No evidence restricts all credible alternatives to MDB and UNAFFILIATED. Retain UNKNOWN on December31 2018; do not backproject the qualified January25 2023 MDB observation. Retain the December31 2018 statutory vacancy succession. The original January1 2019 DOU page1 explicitly dismisses Carlos Henrique Menezes Sobral as executive secretary effective January1. Decree8851/2016 article1 III supplies executive-secretary substitution during vacancy unless a specific presidential designation exists. With C034 Marun publication-date departure and the named continuing deputy, this supports the existing one-day adjudication. No vacancy-specific Sobral decree is claimed; no competing designation or earlier departure was established. No change to routine-leave/signature-only rule or half-open dates.","Contemporaneous personal affiliation, an exhaustive authoritative exact-person historical non-affiliation observation, or evidence bounding every credible alternative on December31 2018.",2026-09-10,blocked
completion-search-ivani-dos-santos,person-ivani-dos-santos,Ivani dos Santos,2016-11-25/2017-02-03;2017-08-02/2017-08-03;2017-10-20/2017-10-26,Ivani dos Santos;Ivany dos Santos,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches; v5: official historical SGIP3 national/GO/DF governing-body membership; academic firsthand narrative; public/private registry-history semantics; 2024 researcher archive provenance,research/completion/web_055.txt;research/completion/web_056.txt;research/completion/web_057.txt;research/completion/web_059.txt;research/completion/web_067.txt;research/completion/web_072.txt;research/completion/web_075.txt;research/completion/web_076.txt;research/completion/web_082.txt;research/completion/web_083.txt;research/completion/web_089.txt;research/completion/web_091.txt;research/completion/web_094.txt;research/completion/web_097.txt;research/completion/web_117.txt;research/completion/web_194.txt;research/completion/web_198.txt;research/completion/web_219.txt;research/completion/web_243.txt;research/completion/web_244.txt;research/completion/web_246.txt;research/completion/web_248.txt;research/completion/web_267.txt;research/completion/web_271.txt;research/completion/web_293.txt;research/completion/web_307.txt;research/completion/web_308.txt;research/completion/web_309.txt;research/completion/web_310.txt;research/completion/web_311.txt;research/completion/web_312.txt;research/completion/web_313.txt;research/completion/web_314.txt;research/completion/web_315.txt;research/completion/web_316.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/refinement_v5/worker_1_ivani/RESEARCH.md;research/refinement_v5/worker_1_ivani/sources/search_02.json;research/refinement_v5/worker_1_ivani/sources/search_03.json;research/refinement_v5/worker_1_ivani/sources/sgip_members_70945_scoped.json;research/refinement_v5/worker_1_ivani/sources/sgip_members_70946_scoped.json;research/refinement_v5/worker_1_ivani/sources/sgip_members_100311_scoped.json;research/refinement_v5/worker_1_ivani/sources/sgip_members_94158_scoped.json,"Thirty years of PMDB leadership employment, official November 2016 acting appointment and 2017 minister-substitute acts establish identity and service, but not personal affiliation. Apparent membership-list hits concern longer or different names and cannot be assigned to her. Follow-up rechecked formal vacancy service, spelling Ivany, and an indexed 2014 party-accounts document. The original TSE PDF returned HTTP 403; the available excerpt establishes no personal affiliation, so no primary affiliation change was made. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. V5 new primary channel: SGIP3 returns national executive (36 members), national directory (219), Goias directory (149), and Distrito Federal regional directory (127) with validity overlapping 2016-2017; all 531 returned governing-member entries screened with no Ivani/Ivany hit. This is not exhaustive party membership and SGIP migration limits remain. A newly found 2006 exact-name UniCEUB monograph describes a federal legislative career but provides no party-state observation; identity compatibility is not unique identification. Official Filia manuals distinguish public lists from complete histories. Gabriel Caseiro archive is a July 2024 current-list capture, not an exhaustive 2016-2017 history. Preserve UNKNOWN and all 77 unresolved days.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
completion-search-jonathas-assuncao-salvador-nery-de-castro,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,2022-12-30/2023-01-01;2021-03-30/2021-03-31,Jonathas Assuncao;Jonathas Assunção;Jonathas Assuncao Salvador,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches; issuer-authored Petrobras 2022 reference filing via Latibex; official nomination announcement and legacy assembly route;v5 original personnel eligibility/nomination dossiers; exact identity and contemporaneous declarations; scoped registry with historical-negative limitation,research/completion/web_033.txt;research/completion/web_078.txt;research/completion/web_081.txt;research/completion/web_082.txt;research/completion/web_083.txt;research/completion/web_084.txt;research/completion/web_086.txt;research/completion/web_088.txt;research/completion/web_089.txt;research/completion/web_112.txt;research/completion/web_113.txt;research/completion/web_138.txt;research/completion/web_159.txt;research/completion/web_164.txt;research/completion/web_191.txt;research/completion/web_217.txt;research/completion/web_221.txt;research/completion/web_222.txt;research/completion/web_230.txt;research/completion/web_250.txt;research/completion/web_251.txt;research/completion/web_265.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/refinement_v5/worker_5_bolsonaro_2022/RESEARCH.md;research/refinement_v5/worker_5_bolsonaro_2022/sources/fetch_manifest.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/web_06.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/terracap_index.html;research/refinement_v5/worker_4_bolsonaro_2021/RESEARCH.md,"Official rolls establish vacancy service. Petrobras 2022 nomination, governance and court records address executive-office ineligibility; those findings do not establish non-affiliation. Legacy assembly website returned 404. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. V5: Newly retrieved issuer-authored Petrobras 2022 reference form version 7, available in Latibex September 21 2022, identifies the exact full name and Casa Civil office. Physical page 532 (printed page 527) records self-declared corporate independence, politically exposed person status and absence of specified convictions. Physical pages 526,538,572,574,575 add board appointment, committee/subordination information. None states personal party affiliation or non-affiliation. The N/A rows concern a different disclosure field and cannot be recoded as unaffiliated. Legacy Petrobras assembly link fails DNS; official August 15 2022 announcement confirms nomination only. Retain UNKNOWN for December 30-31 2022; these findings also cannot resolve March 30 2021 and are not backprojected there. V5 new pre-service personnel channel: public mirror of Terracap eligibility minute dated2019-10-16 names Jonathas and case00111-00010585/2019-82, declaration and unspecified negative certificates including TSE. Neither the certificate type nor an explicit affiliation statement is reproduced. Header says19th meeting while footer says17th; original Terracap archive returns403. This is a source-discovery/limitation record, not a verified original or proof of nonaffiliation. W5 independently reviewed the 2022 Petrobras issuer filing; independence/PEP declarations likewise do not establish the March2021 personal party state.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
completion-search-luiz-pontel-de-souza,person-luiz-pontel-de-souza,Luiz Pontel de Souza,2020-04-24/2020-04-29,Luiz Pontel de Souza;Luiz Pontel,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches; v5 original personnel eligibility/association documents and targeted declaration queries; new scoped official TSE locality lists,research/completion/web_102.txt;research/completion/web_103.txt;research/completion/web_104.txt;research/completion/web_179.txt;research/completion/web_228.txt;research/completion/web_292.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/followup_root/filiaweb_2016_names.json;research/refinement_v5/worker_3_bolsonaro_2020/RESEARCH.md;research/refinement_v5/worker_3_bolsonaro_2020/sources/tse_pontel_all_new_localities.json;research/refinement_v5/worker_3_bolsonaro_2020/sources/TSE_NEW_LOCALITIES_SUMMARY.json,"Official April 24 2020 interministerial act confirms interim service. Desfiliação story concerns Guilherme Theophilo, not Pontel; PF career is not a party observation. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. V5 focused follow-up: The three municipalities follow the prior documented birth/work biography, supplementing already exhausted DF and Sao Paulo queries. All 39 available party identifiers were checked in each municipality; 37726,2034,14473 rows respectively, with no errors. This is not a national historical 2020 registry and does not establish non-affiliation or a bounded set of alternatives. Retain UNKNOWN for 2020-04-24/2020-04-29 and unchanged vacancy service.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
completion-search-marcos-paulo-cardoso-coelho-da-silva,person-marcos-paulo-cardoso-coelho-da-silva,Marcos Paulo Cardoso Coelho da Silva,2020-02-14/2020-02-18,Marcos Paulo Cardoso Coelho,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches; v5 original personnel eligibility/association documents and targeted declaration queries,research/completion/web_138.txt;research/completion/web_168.txt;research/completion/web_171.txt;research/completion/web_172.txt;research/completion/web_181.txt;research/completion/web_200.txt;research/completion/web_201.txt;research/completion/web_214.txt;research/completion/web_221.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/refinement_v5/worker_3_bolsonaro_2020/RESEARCH.md;research/refinement_v5/worker_3_bolsonaro_2020/sources/adpf_2021_scoped.json,"DOU February 14 extra and contemporaneous March 3 report establish executive-secretary vacancy replacement. Police career does not establish non-affiliation. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. V5 focused follow-up: The original ADPF directory independently identifies the organization in the prior desfiliação reports as a professional association, not a political party. Neither this role nor police employment, institutional testimony, or the appointing politician supplies personal party status in February 2020. Personnel-declaration searches recovered no qualifying observation or finite alternatives. Preserve UNKNOWN for 2020-02-14/2020-02-18 and unchanged vacancy service.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
completion-search-otavio-brandelli,person-otavio-brandelli,Otávio Brandelli,2021-03-30/2021-03-31,Otávio Brandelli;Otavio Brandelli,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches;v5 original personnel eligibility/nomination dossiers; exact identity and contemporaneous declarations; scoped registry with historical-negative limitation,research/completion/web_226.txt;research/completion/web_240.txt;research/completion/web_258.txt;research/completion/web_262.txt;research/completion/web_276.txt;research/completion/web_282.txt;research/followup_root/web_registry_05.json;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/followup_root/filiaweb_2016_names.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/brandelli_senate_8953346.pdf;research/refinement_v5/worker_4_bolsonaro_2021/sources/brandelli_senate_8953346.txt;research/refinement_v5/worker_4_bolsonaro_2021/sources/brandelli_senate_8986660.pdf;research/refinement_v5/worker_4_bolsonaro_2021/sources/brandelli_registry_summary.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_182.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_183.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_36.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_37.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_38.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_39.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_40.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_41.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_42.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_43.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_44.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_45.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_46.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_47.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_48.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_49.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_50.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_51.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_52.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_53.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_54.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_55.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_56.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_57.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_58.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_59.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_60.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_61.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_62.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_63.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_64.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_65.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_66.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_67.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_68.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_69.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_70.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_71.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/tse_RS_72.json;research/refinement_v5/worker_4_bolsonaro_2021/RESEARCH.md,"FUNAG immediate-substitute history and DOU interim acts establish succession. In reporting, sem partido modifies Bolsonaro, not Brandelli. Diplomatic career is not non-affiliation. C072 restricts actual vacancy service to March30, because contemporary reports establish successor ministry direction by March31. March31–April5 no longer depend on Brandelli’s affiliation. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. V5 original-source follow-up: original Senate MSF14/2021 dossier (MRE CV, dm8953346) and committee report dm8986660 establish identity/career, including birthplace Garibaldi/RS; neither states personal affiliation. New scoped Garibaldi public TSE scan:39 party queries,3030 rows,all successful,no exact target. Birthplace does not establish electoral domicile and current municipal regular-record absence is not historical nonaffiliation. The service-sensitivity outgoing state stays UNKNOWN.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
completion-search-renato-de-lima-franca,person-renato-de-lima-franca,Renato de Lima França,2020-04-28/2020-04-29,Renato de Lima França;Renato de Lima Franca,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches; v5 original personnel eligibility/association documents and targeted declaration queries,research/completion/web_003.txt;research/completion/web_036.txt;research/completion/web_084.txt;research/completion/web_086.txt;research/completion/web_206.txt;research/completion/web_210.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/followup_root/filiaweb_2016_names.json;research/followup_bolsonaro_affiliations/RENATO_ARAUCARIA_LEAD_FINDINGS.md;research/refinement_v5/worker_3_bolsonaro_2020/RESEARCH.md;research/refinement_v5/worker_3_bolsonaro_2020/sources/renato_caixa_eligibility_scoped.txt;research/refinement_v5/worker_3_bolsonaro_2020/sources/renato_caixa_eligibility_20220314_retrieval.json,"AGU April 2020 bulletin establishes actual replacement. Public legal career and adviser descriptions do not establish party or no-party status. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. A 2016 historical PT Araucaria record has the same name, but contextual/identifier evidence cannot establish this is the AGU officeholder; all39 current Araucaria party lists have no matching name. Preserve as unconfirmed identity lead, not personal affiliation. V5 focused follow-up: The original two-page minute contains approval and a reference to Opinion 014/2022, not the opinion text or a declaration of non-affiliation. This cannot date a personal affiliation status in April 2020. The prior PT/Araucaria historical same-name row remains identity-unconfirmed; no bridge to its masked voter identifier was recovered. Preserve UNKNOWN for 2020-04-28/2020-04-29 and unchanged vacancy service.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
completion-search-sergio-jose-pereira,person-sergio-jose-pereira,Sérgio José Pereira,2021-03-30/2021-04-01,Sérgio José Pereira;Sergio Jose Pereira,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches;v5 original personnel eligibility/nomination dossiers; exact identity and contemporaneous declarations; scoped registry with historical-negative limitation,research/completion/web_164.txt;research/completion/web_168.txt;research/completion/web_171.txt;research/completion/web_172.txt;research/completion/web_201.txt;research/completion/web_216.txt;research/completion/web_221.txt;research/completion/web_231.txt;research/completion/web_287.txt;research/completion/web_288.txt;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/followup_bolsonaro_affiliations/sergio_twelve_current_checks.json;research/followup_bolsonaro_affiliations/sergio_official_identity_reference.json;research/refinement_v5/worker_4_bolsonaro_2021/sources/cmb_57.pdf;research/refinement_v5/worker_4_bolsonaro_2021/sources/cmb_57.txt;research/refinement_v5/worker_4_bolsonaro_2021/sources/cmb_2021_links.json;research/refinement_v5/worker_4_bolsonaro_2021/RESEARCH.md,"DOU March 31 extra minister-substitute act and continuing deputy appointment establish actual replacement. Military status is not used to infer non-affiliation. Additional 2016-07-27 historical Brasília snapshot: all35 party lists,202pages,182698 rendered rows, no matching target. Historical and current-list absence is not evidence of non-affiliation. Final historical-homonym check:12 current municipality/party queries (19891 rows) corresponding to2016name matches; five current exact-name matches all have different identity hashes from the general in the official2021 Casa da Moeda assembly record. Seven had no current match. These historical names therefore do not establish this officeholder affiliation. V5 original-source follow-up: CMB committee minute 57 of 2021-04-16 (visually inspected) identifies Sérgio José Pereira and the underlying SEI note 13261/2021/ME. Its favorable fiscal-council eligibility assessment covers professional experience, education and statutory impediments; it contains no explicit personal party declaration. Minute 69 is about successor Thiago Meirelles and cannot be attributed to Sérgio. No new evidence bounds his personal affiliation on March30–31.","Personal affiliation or an explicit temporally relevant non-affiliation observation, or evidence supporting a defensible finite set of alternatives",2026-09-10,blocked
V5W7R001,sabino-2023-return,Celso Sabino / Ana Carla Machado Lopes,2023-12-04/2023-12-06,Celso Sabino;Celso Sabino de Oliveira;Ana Carla Machado Lopes,Actual return/handoff records; original Chamber diary dispatches and retrospective contemporaneous report,research/refinement_v5/worker_7_lula_dates/RESEARCH.md;research/refinement_v5/worker_7_lula_dates/sources/diary_review_manifest.json;research/refinement_v5/worker_7_lula_dates/sources/sabino_20231206_folhapress.html,"Retain Dec4-Dec6 candidates and primaryDec6. New retrospective Folhapress evidence corroborates actual ministerial return on Dec4, while C073 retains actual parliamentary voting Dec5 and licenceDec6. Reviewed original dispatch sections Dec6-16 did not yield a possession or handoff record. Neither announcement nor legislative administrative date alone resolves the conflicting actual histories; no defensible narrowing. Move Ana Carla vacancy end and Sabino titular start jointly under the existing closing-state rule.","Exact closing-state return among December4,5,6 remains unresolved.",2026-09-10,date_bounds_retained_after_targeted_primary_source_review
