item,value,note
seat_majority_threshold,257,Seat majority in a 513-seat Chamber.
vote_majority,vote_share > 0.5,Strict vote-majority rule.
seat_majority,seats >= 257,Absolute Chamber seat majority.
coalition_inversion,seat_majority && !vote_majority,Seat majority without national vote majority.
2014 classification,2023,Paper rule for ideology source year.
2018 classification,2023,Paper rule for ideology source year.
2022 classification,2025,Paper rule for ideology source year.
2014 vote columns,QT_VOTOS_NOMINAIS + QT_VOTOS_LEGENDA,Legacy TSE file schema.
2018 vote columns,QT_VOTOS_NOMINAIS_VALIDOS + QT_TOTAL_VOTOS_LEG_VALIDOS,Includes converted nominal-to-legend votes.
2022 vote columns,QT_VOTOS_NOMINAIS_VALIDOS + QT_TOTAL_VOTOS_LEG_VALIDOS,Includes converted nominal-to-legend votes.
