case_id,case_label,worker_id,person_ids,outcome,changes,residual_uncertainty,evidence_ids,decision_ids
01-ivani,Ivani dos Santos,worker_1,person-ivani-dos-santos,unresolved; new channels documented,"Added dated SGIP3 governance checks (531 returned entries), registry-scope documentation and a compatible first-person biography; retained all three UNKNOWN spells and all service dates.",77 days still require a person-specific historical affiliation/non-affiliation observation.,V5W1E001;V5W1E002;V5W1E003,V5W1D001
02-sobral,"Carlos Henrique Menezes Sobral, December 31 2018",worker_2,person-carlos-henrique-menezes-sobral,service confirmed; historical affiliation unresolved,Original January 1 DOU and vacancy succession rule support the existing December 31 service. Added historical governing-body and exact-identity/name registry checks; retained the UNKNOWN affiliation and all service dates.,The 2023 MDB label is not backprojected; primary day is now separately filled by a flagged assumption.,V5W2E001;V5W2E002;V5W2E003,V5W2D001;V5W2D002
03-bolsonaro-2020,"Marcos Paulo, Luiz Pontel and Renato de Lima França (2020)",worker_3,person-renato-de-lima-franca;person-marcos-paulo-cardoso-coelho-da-silva;person-luiz-pontel-de-souza,three personal affiliations remain unresolved,"Added original personnel/association documents and new scoped historical-registry checks; preserved all three UNKNOWN spells, service dates and actual vacancy classifications.",The new records do not state personal party membership/non-membership. Partial-list absence and the identity-unconfirmed Renato PT namesake cannot resolve the four Casa Civil days or five Justice days (including the AGU overlap).,V5W3E001;V5W3E002;V5W3E003,V5W3D001;V5W3D002;V5W3D003
04-march-2021,"Jonathas, Otávio Brandelli and Sérgio José Pereira, March 2021",worker_4,person-jonathas-assuncao-salvador-nery-de-castro;person-sergio-jose-pereira;person-otavio-brandelli,historical affiliations unresolved; original personnel sources added,"Added original CMB/Senate dossiers, the qualified Terracap discovery and scoped registry checks; retained exact vacancy dates and MRE outgoing UNKNOWN sensitivity. Combined both independent Jonathas research trails.",The two calendar days require provisional primary assumptions. Generic eligibility and unspecified negative TSE certificates do not establish non-affiliation.,V5W4E001;V5W4E002;V5W4E003,V5W4D001;V5W4D002;V5W4D003
05-helder,Helder Melillo Lopes Cunha Silva,worker_5,person-helder-melillo-lopes-cunha-silva,registry reason resolved; historical effect still bounded by competing interpretations,"Official TSE client identifies departure reason 2 as a request by the voter and distinguishes entered departure date from registration/effectuation. Raw fields, NOVO primary and UNAFFILIATED alternative retained.",The historical court-notice/effective-termination date is not established; two days remain set-sensitive.,V5W5E001,V5W5D001
05-jonathas-dec,"Jonathas Assunção Salvador Nery de Castro, December 2022",worker_5,person-jonathas-assuncao-salvador-nery-de-castro,unresolved; original issuer disclosure inspected,Added the original Petrobras 2022 reference filing and retained UNKNOWN; corporate independence and PEP disclosures are not a personal party declaration.,December 30-31 affiliation remains unknown; this evidence does not establish March 2021 status.,V5W5E004,V5W5D004
05-maria,Maria Estella Dantas Antonichelli,worker_5,person-561613fe4a6e,service capacity corrected; affiliation unresolved,"Corrected titular to vacancy_acting for [2022-12-21,2023-01-01), using the official roll, substitute rule and official acts; source dates unchanged. Reviewed original board eligibility dossiers without treating eligibility as non-affiliation.",All 11 days remain blocked by personal affiliation.,V5W5E002;V5W5E003,V5W5D002;V5W5D003
06-damares,Damares Alves,worker_6,person-87ad75f8d2f9,departure window narrowed; entry membership corroborated,"BBC September 3, 2020 personal PP observation narrows departure from August 27-September 19 (24 candidates) to September 4-19 (16 candidates); unchanged primary September 19. This reduces set-sensitive days from 23 to 15. Official registry corroborates the existing March 28, 2022 Republicanos entry.",Exact PP departure day remains unresolved; current positive report takes precedence over weaker retrospective years.,V5W6E03;V5W6E07;V5W6E09;V5W6E10,V5W6D02
06-marinho,Rogério Marinho,worker_6,person-20d6d1c35408,departure window narrowed,"Narrowed June 2020 PSDB departure from February 12-June 18 (128 candidate dates) to June 16-18 (3 candidates); unchanged primary June 18. The admissible window can change sets on 2 days, previously 127.",Exact exit day still lacks a definitive registry event; competing older reports are retained and adjudicated.,V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10,V5W6D03
06-sachsida,Adolfo Sachsida,worker_6,person-1c11e767f427,formal successor membership supported; alternative removed,"Official TSE historical May 27, 2013 entry matches the exact TCU identity and MME minister roll, with regular status and no recorded departure/pending fields. Retained UNIAO throughout [2022-05-11,2023-01-01) and removed the 235-day UNAFFILIATED sensitivity; conflicting source assertions remain archived.","Historical registry continuity is an adjudication from a dated record, not a contemporaneous certificate for every day. No specific competing affiliation trajectory remains supported.",V5W6E01;V5W6E02,V5W6D01
07-ana-affiliation,Ana Carla Machado Lopes PSDB affiliation,worker_7,person-ana-carla-machado-lopes,prior historical observation retained; no stronger affiliation evidence found,"Checked 27 historical PSDB governing bodies with 1,131 officer entries. Officer-list absence is not a full membership negative. Retained the 2016 observation and stated continuity over the 14 primary replacement days.",The PSDB adjudication is not upgraded to a contemporary certificate; no contrary personal event or better exact-person observation was established.,V5W7E005,V5W7D003
07-sabino-2023,"Sabino/Ana Carla, December 2023 return",worker_7,person-96c220ae0629;person-ana-carla-machado-lopes,date bound retained; retrospective report added,A further December 6 retrospective confirms the December 4 return report; original parliamentary dispatch review did not resolve the December 5 vote/December 6 licence conflict. Retained December 4-6 bound and December 6 primary.,Two dates remain set-sensitive; no primary service date was changed.,V5W7E004,V5W7D001
07-sabino-2025,"Sabino/Ana Carla, November 2025 return",worker_7,person-96c220ae0629;person-ana-carla-machado-lopes,actual service and notification semantics strengthened,"Confirmed Ana Carla actual November 14 Orla activity and Sabino actual ministerial exercise by November 17 morning. Original Chamber dispatch explicitly times parliamentary notification at November 17 19:36, not ministerial assumption. Retained November 14-17 bound and November 17 primary.",November 14 activity does not exclude a later same-day handoff; three dates remain set-sensitive.,V5W7E001;V5W7E002;V5W7E003,V5W7D002
98-primary-fill,All residual primary gaps,parent,,100 days filled with explicit provisional assumptions,"Added 12 separate assumption records across nine officeholders (105 overlapping person-days, 100 unique calendar days), choosing no additional party contribution. All historical UNKNOWN rows are preserved; all 4,096 dates now have primary sets with actual witnesses for every represented party.",All 100 filled days remain historically uncertain and their unconstrained actual affiliations can change the sets. Historical completeness is not asserted.,,V5ROOTD002
99-date-scope,Scope of date-bounded personal alternatives,parent,person-20d6d1c35408;person-87ad75f8d2f9;person-c65a317c70db,derived sensitivity reporting corrected,Residual-person output now respects the linked joint date constraint and actual service instead of treating date alternatives as independent choices throughout whole spells. Added alternative_scope and date_constraint_id. The same rule applies to all three existing bounded affiliation transitions.,"Independent membership alternatives retain their full evidenced scope. This reporting correction changes no primary party set, service rule or raw source alternative.",AFF-024;AFF-013;AFF-028,R16;R17;BOL-A01
