election,ideological_universe,k,check,ok,detail
2014,seat_winning,0,universe_exact_order,true,filter preserves the original relative order
2014,seat_winning,0,analytical_domain_count,true,"expected=406, observed=406, n=28"
2014,seat_winning,0,year_and_domain_labels,true,all rows must carry the correct election and k
2014,seat_winning,0,canonical_party_sets_unique,true,"rows=406, unique=406"
2014,seat_winning,0,gap_bound,true,all reported gaps must be between zero and k
2014,seat_winning,0,span_membership_and_gap_count,true,all rows match their spans
2014,seat_winning,0,party_sum_arithmetic,true,all coalition metrics equal party sums
2014,seat_winning,0,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2014,seat_winning,0,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2014,seat_winning,0,matches_established_interval_membership,true,D_0 and the established interval output must contain identical party sets
2014,seat_winning,0,matches_established_interval_metrics,true,"membership, arithmetic, inversion, and minimality match"
2014,seat_winning,1,analytical_domain_count,true,"expected=3682, observed=3682, n=28"
2014,seat_winning,1,year_and_domain_labels,true,all rows must carry the correct election and k
2014,seat_winning,1,canonical_party_sets_unique,true,"rows=3682, unique=3682"
2014,seat_winning,1,gap_bound,true,all reported gaps must be between zero and k
2014,seat_winning,1,span_membership_and_gap_count,true,all rows match their spans
2014,seat_winning,1,party_sum_arithmetic,true,all coalition metrics equal party sums
2014,seat_winning,1,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2014,seat_winning,1,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2014,seat_winning,1,D0_strict_subset_D1,true,"|D_0|=406, |D_1|=3682"
2014,seat_winning,1,D0_metrics_unchanged_inside_D1,true,"shared party sets retain identical votes, seats, and q_C"
2018,seat_winning,0,universe_exact_order,true,filter preserves the original relative order
2018,seat_winning,0,analytical_domain_count,true,"expected=465, observed=465, n=30"
2018,seat_winning,0,year_and_domain_labels,true,all rows must carry the correct election and k
2018,seat_winning,0,canonical_party_sets_unique,true,"rows=465, unique=465"
2018,seat_winning,0,gap_bound,true,all reported gaps must be between zero and k
2018,seat_winning,0,span_membership_and_gap_count,true,all rows match their spans
2018,seat_winning,0,party_sum_arithmetic,true,all coalition metrics equal party sums
2018,seat_winning,0,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2018,seat_winning,0,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2018,seat_winning,0,matches_established_interval_membership,true,D_0 and the established interval output must contain identical party sets
2018,seat_winning,0,matches_established_interval_metrics,true,"membership, arithmetic, inversion, and minimality match"
2018,seat_winning,1,analytical_domain_count,true,"expected=4525, observed=4525, n=30"
2018,seat_winning,1,year_and_domain_labels,true,all rows must carry the correct election and k
2018,seat_winning,1,canonical_party_sets_unique,true,"rows=4525, unique=4525"
2018,seat_winning,1,gap_bound,true,all reported gaps must be between zero and k
2018,seat_winning,1,span_membership_and_gap_count,true,all rows match their spans
2018,seat_winning,1,party_sum_arithmetic,true,all coalition metrics equal party sums
2018,seat_winning,1,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2018,seat_winning,1,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2018,seat_winning,1,D0_strict_subset_D1,true,"|D_0|=465, |D_1|=4525"
2018,seat_winning,1,D0_metrics_unchanged_inside_D1,true,"shared party sets retain identical votes, seats, and q_C"
2022,seat_winning,0,universe_exact_order,true,filter preserves the original relative order
2022,seat_winning,0,analytical_domain_count,true,"expected=276, observed=276, n=23"
2022,seat_winning,0,year_and_domain_labels,true,all rows must carry the correct election and k
2022,seat_winning,0,canonical_party_sets_unique,true,"rows=276, unique=276"
2022,seat_winning,0,gap_bound,true,all reported gaps must be between zero and k
2022,seat_winning,0,span_membership_and_gap_count,true,all rows match their spans
2022,seat_winning,0,party_sum_arithmetic,true,all coalition metrics equal party sums
2022,seat_winning,0,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2022,seat_winning,0,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2022,seat_winning,0,matches_established_interval_membership,true,D_0 and the established interval output must contain identical party sets
2022,seat_winning,0,matches_established_interval_metrics,true,"membership, arithmetic, inversion, and minimality match"
2022,seat_winning,1,analytical_domain_count,true,"expected=2047, observed=2047, n=23"
2022,seat_winning,1,year_and_domain_labels,true,all rows must carry the correct election and k
2022,seat_winning,1,canonical_party_sets_unique,true,"rows=2047, unique=2047"
2022,seat_winning,1,gap_bound,true,all reported gaps must be between zero and k
2022,seat_winning,1,span_membership_and_gap_count,true,all rows match their spans
2022,seat_winning,1,party_sum_arithmetic,true,all coalition metrics equal party sums
2022,seat_winning,1,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2022,seat_winning,1,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2022,seat_winning,1,D0_strict_subset_D1,true,"|D_0|=276, |D_1|=2047"
2022,seat_winning,1,D0_metrics_unchanged_inside_D1,true,"shared party sets retain identical votes, seats, and q_C"
2014,all_parties,0,universe_exact_order,true,filter preserves the original relative order
2014,all_parties,0,analytical_domain_count,true,"expected=528, observed=528, n=32"
2014,all_parties,0,year_and_domain_labels,true,all rows must carry the correct election and k
2014,all_parties,0,canonical_party_sets_unique,true,"rows=528, unique=528"
2014,all_parties,0,gap_bound,true,all reported gaps must be between zero and k
2014,all_parties,0,span_membership_and_gap_count,true,all rows match their spans
2014,all_parties,0,party_sum_arithmetic,true,all coalition metrics equal party sums
2014,all_parties,0,strict_inversion_definition,true,all inversion flags use unrounded vote shares
