file,line,role,text
review/my_paper/response_to_reviewers.tex,152,"other draft, report or archived source","\location{Section~5, immediately after Figure~1 and before the section on cabinet coalitional inversions.}"
review/my_paper/response_to_reviewers.tex,175,"other draft, report or archived source","\location{Section on observed cabinet coalitions, immediately after the discussion of the 2017.1 Temer inversion.}"
review/materialInversionDone/review_kwame.tex,39,"other draft, report or archived source","The manuscript’s strongest organizing contribution is a systematic empirical audit of a second institutional mapping that conventional electoral analysis often leaves implicit. Votes are first translated into seats, and the resulting seat vector is then translated by the legislative majority quota into a weighted majority game and a distribution of a priori pivotal power. Fragmentation characterizes the resulting party configuration, while volatility measures how the electoral inputs and party configuration change across elections. Coalition formation and cabinet instability are downstream political outcomes, but they depend not only on pivotal structure but also on ideological feasibility, party discipline, and bargaining institutions. The manuscript should be reorganized around this hierarchy and should not present the existing evidence as establishing a single and general causal chain from PR to volatility or instability."
review/materialInversionDone/review_kwame.tex,48,"other draft, report or archived source","One plausible organizing sequence is the following. Party-system organization and electoral shocks generate vote distributions; electoral rules translate those vote distributions into seat configurations, while volatility measures changes in electoral support and party supply over time. Majority rule then transforms each seat vector into a distribution of a priori pivotal power. Actual coalition formation and cabinet survival occur downstream, but are conditioned by party discipline, ideological feasibility, bargaining incentives, and external institutional pressures. The manuscript contains evidence relevant to each element, but it does not identify the complete causal sequence. The sequence should therefore organize the descriptive findings."
review/materialInversionDone/review_kwame.tex,57,"other draft, report or archived source",and coalition composition and documented cabinet collapses provide descriptive
old_main.tex,68,"other draft, report or archived source","  Using party vote totals, elected-seat totals, cabinet-period coalition data,"
old_main.tex,71,"other draft, report or archived source",  observed cabinet coalitions and ideologically contiguous party intervals.
old_main.tex,72,"other draft, report or archived source",  Three observed cabinet periods satisfy the inversion criterion: two during the
old_main.tex,75,"other draft, report or archived source",  election because the relevant cabinet coalitions remain below the Chamber
old_main.tex,112,"other draft, report or archived source","The analysis proceeds in two stages. First, I examine observed cabinet-period"
old_main.tex,114,"other draft, report or archived source",sets rather than merely possible coalitions. For each cabinet period in the
old_main.tex,115,"other draft, report or archived source","mandates following the 2014, 2018, and 2022 elections\footnote{The 2014 election is linked to the mandate running from January 1, 2015 to December 31, 2018. This covers Dilma Rousseff’s second administration until her suspension on May 12, 2016, and Michel Temer’s administration from May 12, 2016 through the end of 2018. The 2018 election is linked to Jair Bolsonaro’s mandate, from January 1, 2019 to December 31, 2022. The 2022 election is linked to Lula’s third administration. Because the mandate was still ongoing at the time covered by the cabinet data, the analysis observes this mandate from January 1, 2023 through the latest reliable cabinet-period endpoint in the data. In the current source data, this endpoint is March 19, 2026.}, I translate cabinet"
old_main.tex,122,"other draft, report or archived source",replace the cabinet analysis. It asks whether inversions are also visible in the
old_main.tex,125,"other draft, report or archived source",The results are straightforward. There are three observed cabinet-period
old_main.tex,129,"other draft, report or archived source",more politically meaningful Temer-period case. The coalition translated into the
old_main.tex,132,"other draft, report or archived source",Lula coalition after the 2022 election. It held 263 seats with 48.89 percent of
old_main.tex,133,"other draft, report or archived source","the vote. Conversely, no observed cabinet coalition after the 2018 election"
old_main.tex,134,"other draft, report or archived source","reaches both conditions for inversion, because Bolsonaro-period cabinet"
old_main.tex,151,"other draft, report or archived source","criterion. Section \ref{sec:data} describes the election, cabinet,"
old_main.tex,154,"other draft, report or archived source",\ref{sec:cabinets} presents the observed cabinet-period results for the
old_main.tex,192,"other draft, report or archived source","party sets, not to electoral lists as such. Observed cabinet coalitions are sets of"
old_main.tex,193,"other draft, report or archived source",parties that participate in government during a cabinet period. Ideological
old_main.tex,206,"other draft, report or archived source",does not imply monotonicity for every post-electoral set of parties. A cabinet
old_main.tex,256,"other draft, report or archived source","preferences over cabinets from party votes. It asks whether a party set, once"
old_main.tex,294,"other draft, report or archived source","totals, cabinet-composition data, and party ideology classifications. Vote and"
old_main.tex,297,"other draft, report or archived source",\parencite{electionsbr}. Cabinet composition is reconstructed from the
old_main.tex,298,"other draft, report or archived source","Portuguese Wikipedia cabinet-member lists for the Dilma Rousseff, Michel Temer,"
old_main.tex,299,"other draft, report or archived source","Jair Bolsonaro, and Lula III administrations. These sources identify ministerial"
old_main.tex,301,"other draft, report or archived source","these appointment records to construct cabinet periods, defined by changes in"
old_main.tex,306,"other draft, report or archived source",Cabinet periods are linked to elections by mandate-window overlap. The 2014
old_main.tex,307,"other draft, report or archived source","election is linked to cabinet periods active from January 1, 2015 through"
old_main.tex,309,"other draft, report or archived source","through December 31, 2022; and the 2022 election to the observed Lula III window"
old_main.tex,310,"other draft, report or archived source","beginning on January 1, 2023 and continuing through March 19, 2026, the latest reliable cabinet-period endpoint in the source data. Coalition vote and seat totals"
old_main.tex,313,"other draft, report or archived source",observed cabinet-period coalitions and ideologically contiguous party intervals.
old_main.tex,375,"other draft, report or archived source","Temer-period coalition space, especially PMDB, PSD, PTB, PR, and PP. In 2018,"
old_main.tex,376,"other draft, report or archived source",several parties associated with the Bolsonaro congressional support base are
old_main.tex,377,"other draft, report or archived source","overrepresented, but the observed cabinet coalitions do not accumulate enough"
old_main.tex,395,"other draft, report or archived source",\section{Cabinet coalitional inversions}
old_main.tex,396,"other draft, report or archived source",\label{sec:cabinets}
old_main.tex,398,"other draft, report or archived source",Observed cabinet coalitions are the central empirical object because they are
old_main.tex,400,"other draft, report or archived source",fragmented election. Most are politically meaningless. A cabinet-period
old_main.tex,410,"other draft, report or archived source",Table \ref{tab:cabinet-inversions} reports the observed cabinet-period
old_main.tex,412,"other draft, report or archived source","  Appendix \ref{app:composition} reports every cabinet period, its party"
old_main.tex,415,"other draft, report or archived source",  cabinet labels back into the party labels that existed at the relevant
old_main.tex,430,"other draft, report or archived source","the most important Temer-period inversion. Later, DEM, PSB, and PV leave in"
old_main.tex,433,"other draft, report or archived source","The 2018 mandate has many cabinet-period changes, but none reaches the inversion"
old_main.tex,434,"other draft, report or archived source","criterion. The initial Bolsonaro-period coalition contains DEM, MDB, NOVO,"
old_main.tex,444,"other draft, report or archived source","and a seat majority. In 2025.1, UNIÃO leaves the cabinet party set in the"
old_main.tex,450,"other draft, report or archived source",\caption{Observed cabinet-period coalition inversions}
old_main.tex,451,"other draft, report or archived source",\label{tab:cabinet-inversions}
old_main.tex,459,"other draft, report or archived source","2022 & 2023.1 & 255 & 48.89 & 263 & 12.20 & MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO \\"
old_main.tex,467,"other draft, report or archived source","Figure \ref{fig:timeline} shows why the inversion criterion is more demanding than ordinary overrepresentation. Several cabinet coalitions receive a larger share of seats than votes, but only those that cross the Chamber-majority threshold while remaining below the vote-majority threshold count as inversions. The two-panel structure makes this distinction visible. In the 2014-linked mandate, the figure shows the movement from Dilma’s initial vote-and-seat majority, through the short 2016.2 impeachment-window inversion, into the post-impeachment Temer sequence and the more durable 2017.1 inversion. In the 2018-linked mandate, the observed coalitions remain below the seat-majority threshold throughout the Bolsonaro period, which explains the absence of inversions despite positive seat differentials in some periods. In the 2022-linked mandate, the initial Lula coalition appears as an inversion, but later cabinet expansion pushes the coalition above both thresholds. The figure thus functions as a visual check on both the positive and negative cases."
old_main.tex,471,"other draft, report or archived source",reason an important event-window result. The period falls inside the cabinet
old_main.tex,473,"other draft, report or archived source","leave the cabinet party set, but before the subsequent loss of PSD reduces the"
