path,artifact_type,description,rows,columns
diagnostics/preflight_checks.csv,diagnostic,Required input files and directories for the paper runner.,16,5
diagnostics/cabinet_period_source_spells.csv,diagnostic,Contemporaneous cabinet release witnesses and party-set changes; pinned release provenance included.,3523,19
diagnostics/cabinet_period_party_set_changes.csv,diagnostic,Contemporaneous cabinet release witnesses and party-set changes; pinned release provenance included.,54,12
raw/cabinet_calendar_status.csv,raw,"Complete historical calendar, including unidentified sets, pinned release IDs and half-open dates.",53,22
raw/cabinet_unidentified_intervals.csv,raw,Explicit unavailable full cabinet compositions; no confirmed core is substituted for a complete set.,0,22
diagnostics/coalition_period_linkage.csv,diagnostic,Coalition periods linked to elections by inclusive mandate-window overlap.,159,8
raw/party_seat_differentials_2014.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for 2014.",32,10
raw/party_seat_differentials_2018.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for 2018.",35,10
raw/party_seat_differentials_2022.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for 2022.",32,10
raw/party_seat_differentials_all_years.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for all elections.",99,10
latex/table_appendix_party_representation.tex,latex,Complete party-level representation diagnostics for all elections.,99,8
tables/table_02_party_over_underrepresentation.csv,table,Top overrepresented and underrepresented parties by election.,30,9
tables/table_01_selected_party_differentials.csv,table,Selected large positive and negative party-level seat differentials shown in manuscript Table 1.,15,6
latex/table_01_party_differential_tabular.tex,latex,CSV-driven tabular for manuscript Table 1.,15,6
diagnostics/cabinet_coalitions_before_coalescing.csv,diagnostic,Translated historical cabinet rows before adjacent equal-party-set coalescing.,53,26
diagnostics/cabinet_period_coalescing.csv,diagnostic,Cabinet observation counts and unchanged inversion days after adjacent equal-party-set coalescing; source IDs remain in source_periods.,3,7
raw/observed_cabinet_coalitions_2014.csv,raw,Observed cabinet-period coalition metrics for the 2014 election.,20,26
raw/observed_cabinet_coalitions_2018.csv,raw,Observed cabinet-period coalition metrics for the 2018 election.,20,26
raw/observed_cabinet_coalitions_2022.csv,raw,Observed cabinet-period coalition metrics for the 2022 election.,13,26
raw/cabinet_coalition_metrics.csv,raw,Full-precision observed cabinet-period coalition accounting metrics for all elections.,53,26
raw/cabinet_coalition_focal_cases.csv,raw,"All observed cabinet inversions, with Julia-generated display values.",2,32
raw/observed_cabinet_inversions_only.csv,raw,Observed cabinet-period coalition inversions only.,2,26
raw/observed_cabinet_duration_summary.csv,raw,Observed cabinet coverage and inversion duration summary.,3,14
tables/table_03_observed_cabinet_coalitions.csv,table,Observed cabinet-period coalitions with rounded display columns.,53,18
tables/table_appendix_cabinet_composition.csv,table,Full cabinet-period composition and party transitions shown in the manuscript appendix.,53,45
latex/table_appendix_cabinet_composition.tex,latex,CSV-driven landscape longtable for the full cabinet-composition appendix.,53,11
tables/table_04_observed_cabinet_inversions_only.csv,table,"Observed cabinet-period coalition inversions with rounded q_C, d_C, and r_C display columns.",2,18
latex/table_02_cabinet_inversion_tabular.tex,latex,CSV-driven tabularx for manuscript Table 2.,2,9
raw/ideology_order_2014_all_parties.csv,raw,All-party robustness ideological order; original estimates and rank preserved.,32,9
raw/ideology_order_2018_all_parties.csv,raw,All-party robustness ideological order; original estimates and rank preserved.,35,9
raw/ideology_order_2022_all_parties.csv,raw,All-party robustness ideological order; original estimates and rank preserved.,32,9
raw/ideology_order_all_years_all_parties.csv,raw,Full all-party robustness order.,99,9
