path,artifact_type,description,rows,columns
diagnostics/preflight_checks.csv,diagnostic,Required input files and directories for the paper runner.,16,5
diagnostics/cabinet_period_source_spells.csv,diagnostic,Appointment spells used to build contemporaneous cabinet periods.,266,9
diagnostics/cabinet_period_party_set_changes.csv,diagnostic,Contemporaneous cabinet party-set changes and their triggers.,21,7
diagnostics/coalition_period_linkage.csv,diagnostic,Coalition periods linked to elections by inclusive mandate-window overlap.,66,8
raw/party_seat_differentials_2014.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for 2014.",32,10
raw/party_seat_differentials_2018.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for 2018.",35,10
raw/party_seat_differentials_2022.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for 2022.",32,10
raw/party_seat_differentials_all_years.csv,raw,"Party-level vote shares, seat shares, quotas, and seat differentials for all elections.",99,10
tables/table_02_party_over_underrepresentation.csv,table,Top overrepresented and underrepresented parties by election.,30,9
raw/observed_cabinet_coalitions_2014.csv,raw,Observed cabinet-period coalition metrics for the 2014 election.,8,22
raw/observed_cabinet_coalitions_2018.csv,raw,Observed cabinet-period coalition metrics for the 2018 election.,11,22
raw/observed_cabinet_coalitions_2022.csv,raw,Observed cabinet-period coalition metrics for the 2022 election.,3,22
raw/cabinet_coalition_metrics.csv,raw,Full-precision observed cabinet-period coalition accounting metrics for all elections.,22,22
raw/cabinet_coalition_focal_cases.csv,raw,"All observed cabinet inversions plus every tied closest non-inversion below both majority thresholds, with Julia-generated display values.",5,28
raw/observed_cabinet_inversions_only.csv,raw,Observed cabinet-period coalition inversions only.,3,22
raw/observed_cabinet_duration_summary.csv,raw,Observed cabinet coverage and inversion duration summary.,3,6
tables/table_03_observed_cabinet_coalitions.csv,table,Observed cabinet-period coalitions with rounded display columns.,22,17
tables/table_04_observed_cabinet_inversions_only.csv,table,"Observed cabinet-period coalition inversions with rounded q_C, d_C, and r_C display columns.",3,17
latex/table_02_cabinet_inversion_tabular.tex,latex,CSV-driven tabularx for manuscript Table 2.,3,9
raw/ideology_order_2014.csv,raw,Ideology order used for 2014 election analysis.,32,7
raw/ideology_order_2018.csv,raw,Ideology order used for 2018 election analysis.,35,7
raw/ideology_order_2022.csv,raw,Ideology order used for 2022 election analysis.,32,7
raw/ideology_order_all_years.csv,raw,Ideology order used for all election analyses.,99,7
raw/ideological_intervals_2014.csv,raw,All contiguous ideological intervals for 2014.,528,27
raw/ideological_intervals_2018.csv,raw,All contiguous ideological intervals for 2018.,630,27
raw/ideological_intervals_2022.csv,raw,All contiguous ideological intervals for 2022.,528,27
raw/ideological_interval_metrics.csv,raw,Full-precision metrics and classifications for all contiguous ideological intervals.,1686,27
raw/ideological_interval_inversions_only.csv,raw,Contiguous ideological interval coalition inversions only.,14,27
raw/minimal_connected_inversion_metrics.csv,raw,Julia-filtered minimal connected ideological inversions with full-precision and Julia-generated display metrics.,6,32
raw/legacy_first_majority_sweeps.csv,raw,"Legacy first-seat-majority sweep diagnostic, not the main ideological result.",99,18
tables/table_05_ideological_interval_summary_by_election.csv,table,Ideological interval counts and inversion counts by election.,3,5
tables/table_06_minimal_ideological_interval_inversions.csv,table,"Endpoint-minimal ideological interval inversions with rounded q_C, d_C, and r_C display columns.",6,13
latex/table_04_minimal_connected_inversion_tabular.tex,latex,CSV-driven tabularx for manuscript Table 4.,6,10
tables/table_appendix_minimal_connected_winning_intervals.csv,table,Endpoint-minimal connected winning ideological intervals.,20,13
latex/table_appendix_minimal_connected_winning_intervals.tex,latex,Landscape longtable for endpoint-minimal connected winning ideological intervals.,20,10
tables/table_appendix_cabinet_interval_bridge.csv,table,Observed cabinet coalitions compared with connected ideological closures and nearest minimal connected intervals.,22,80
latex/table_appendix_cabinet_interval_bridge.tex,latex,Landscape longtable comparing observed cabinet coalitions with connected ideological intervals.,22,11
tables/table_01_definitions_classification_rules.csv,table,"Definitions, thresholds, ideology classification rules, and vote-column rules.",10,3
tables/table_07_audit_vote_columns_crosswalk.csv,table,Audit table for selected vote columns and converted legend-vote checks.,5,7
figure_data/party_vote_share_vs_seat_share.csv,figure_data,Party vote share versus seat share figure input.,99,10
figure_data/ideological_interval_heatmap.csv,figure_data,Ideological interval heatmap figure input.,1686,13
diagnostics/party_mapping_votes.csv,diagnostic,Raw-to-canonical party mapping for vote inputs.,99,7
diagnostics/party_mapping_seats.csv,diagnostic,Raw-to-canonical party mapping for seat inputs.,99,7
diagnostics/party_mapping_coalitions.csv,diagnostic,Raw-to-canonical party mapping for coalition inputs.,166,7
diagnostics/party_mapping_ideology.csv,diagnostic,Raw-to-canonical party mapping for ideology inputs.,102,10
diagnostics/vote_column_consistency.csv,diagnostic,Vote-column selection and consistency checks.,5,12
diagnostics/cabinet_translation_report.csv,diagnostic,Cabinet-party to election-party translation report.,169,10
diagnostics/audit_appendix_vote_columns_and_crosswalk.csv,diagnostic,Appendix-ready vote-column and crosswalk audit extract.,5,7
artifact_manifest.csv,manifest,Manifest of every generated paper-runner artifact.,49,5
