macro,semantic_key,description,domain,ideological_universe,k,election,case_id,case_label,selector_rule,metric,raw_value,exact_value,display_value,format,source_object,source_file,selector_source_file,selection_group,source_row_count
IdeologySeatWinningTwentyFourteenKZeroStrongestVotePct,IdeologySeatWinningTwentyFourteenKZeroStrongestVotePct,2014 seat_winning k=0 strongest minimal inversion: vote_share (identity),ideological,seat_winning,0,2014,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,"strongest; filters=(election = 2014, ideological_universe = ""seat_winning"", k = 0, minimal_inversion = true); members=nothing; min(vote_share), party_count, canonical coalition_id",vote_share,0.4744616510767348,23095691//48677677,47.45,pct2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyFourteenKZeroStrongest,1
IdeologySeatWinningTwentyFourteenKZeroStrongestQuota,IdeologySeatWinningTwentyFourteenKZeroStrongestQuota,2014 seat_winning k=0 strongest minimal inversion: q_C (identity),ideological,seat_winning,0,2014,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,"strongest; filters=(election = 2014, ideological_universe = ""seat_winning"", k = 0, minimal_inversion = true); members=nothing; min(vote_share), party_count, canonical coalition_id",q_C,243.39882700236495,623583657/2561983,243.40,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyFourteenKZeroStrongest,1
IdeologySeatWinningTwentyFourteenKZeroStrongestDifferential,IdeologySeatWinningTwentyFourteenKZeroStrongestDifferential,2014 seat_winning k=0 strongest minimal inversion: d_C (identity),ideological,seat_winning,0,2014,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,"strongest; filters=(election = 2014, ideological_universe = ""seat_winning"", k = 0, minimal_inversion = true); members=nothing; min(vote_share), party_count, canonical coalition_id",d_C,13.601172997635034,34845974/2561983,13.60,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyFourteenKZeroStrongest,1
IdeologySeatWinningTwentyFourteenKZeroStrongestPartiesWords,IdeologySeatWinningTwentyFourteenKZeroStrongestPartiesWords,2014 seat_winning k=0 strongest minimal inversion: party_count (identity),ideological,seat_winning,0,2014,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,"strongest; filters=(election = 2014, ideological_universe = ""seat_winning"", k = 0, minimal_inversion = true); members=nothing; min(vote_share), party_count, canonical coalition_id",party_count,13,,thirteen,words,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyFourteenKZeroStrongest,1
IdeologySeatWinningTwentyFourteenKZeroStrongestLabel,IdeologySeatWinningTwentyFourteenKZeroStrongestLabel,2014 seat_winning k=0 strongest minimal inversion: label (identity),ideological,seat_winning,0,2014,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,"strongest; filters=(election = 2014, ideological_universe = ""seat_winning"", k = 0, minimal_inversion = true); members=nothing; min(vote_share), party_count, canonical coalition_id",label,PTB--PR,,PTB--PR,text,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyFourteenKZeroStrongest,1
IdeologySeatWinningTwentyFourteenKZeroStrongestSeats,IdeologySeatWinningTwentyFourteenKZeroStrongestSeats,2014 seat_winning k=0 strongest minimal inversion: seats (identity),ideological,seat_winning,0,2014,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,"strongest; filters=(election = 2014, ideological_universe = ""seat_winning"", k = 0, minimal_inversion = true); members=nothing; min(vote_share), party_count, canonical coalition_id",seats,257,,257,integer,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyFourteenKZeroStrongest,1
IdeologySeatWinningTwentyFourteenKZeroStrongestRatio,IdeologySeatWinningTwentyFourteenKZeroStrongestRatio,2014 seat_winning k=0 strongest minimal inversion: R_C (identity),ideological,seat_winning,0,2014,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,"strongest; filters=(election = 2014, ideological_universe = ""seat_winning"", k = 0, minimal_inversion = true); members=nothing; min(vote_share), party_count, canonical coalition_id",R_C,1.0558801912282958,658429631/623583657,1.056,decimal3,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyFourteenKZeroStrongest,1
IdeologySeatWinningTwentyEighteenKZeroPTPSDBVotePct,IdeologySeatWinningTwentyEighteenKZeroPTPSDBVotePct,2018 seat_winning k=0 PTPSDB substantive interval: vote_share (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",vote_share,0.4995104320302238,24541994//49132095,49.95,pct2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
IdeologySeatWinningTwentyEighteenKZeroPTPSDBQuota,IdeologySeatWinningTwentyEighteenKZeroPTPSDBQuota,2018 seat_winning k=0 PTPSDB substantive interval: q_C (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",q_C,256.2488516315048,4196680974/16377365,256.25,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
IdeologySeatWinningTwentyEighteenKZeroPTPSDBDifferential,IdeologySeatWinningTwentyEighteenKZeroPTPSDBDifferential,2018 seat_winning k=0 PTPSDB substantive interval: d_C (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",d_C,10.751148368495176,176075481/16377365,10.75,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
