case_id,subjects,administration_id,reviewed_finding,change_dimensions,primary_adjudication,decision_ids,evidence_ids,residual_dependency,review_basis
R14,PSL ministers; Marcos Pontes,bolsonaro,Presidential PSL departure does not remove ministerial PSL; merger February 8 2022 and Pontes PL entry March 27 remain distinct.,personal_affiliation;organizational_event,Use individual service intersections and dated merger.,R14;C065,AFF-012;AFF-044;BOL-E10;BOL-E22;C065,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R15,Ricardo Salles,bolsonaro,NOVO rights suspension October 31 2019 is not exit; expulsion May 7 2020 is.,personal_affiliation;date,NOVO persists until expulsion under qualifying service.,R15,AFF-020;AFF-021;AFF-023;AFF-054;BOL-E03;BOL-E04;BOL-E05;BOL-E06;BOL-E23,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R16,Rogério Marinho,bolsonaro,PSDB departure newly bounded June16–18 2020 from contemporary June15 personal-membership observation and June19 earlier-departure report.,personal_affiliation;date,Primary June18 unchanged; former February12 lower bound superseded; exact withdrawal day remains unresolved.,R16;V5W6D03,AFF-024;AFF-025;BOL-E12;BOL-E13;V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10,transition-person-20d6d1c35408,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R17,Damares Alves,bolsonaro,PP at entry corroborated by September3 2020 BBC since1995 observation; departure narrowed; Republicanos historical entry verified by TSE.,personal_affiliation;date,Primary September19 unchanged; admissible September4–19 replaces August27–September19.,R17;V5W6D02,AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18;V5W6E03;V5W6E07;V5W6E09;V5W6E10,transition-person-87ad75f8d2f9,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R18,Tarcísio de Freitas,bolsonaro,Republicanos affiliation March 28 2022 is included during continuing service.,personal_affiliation,No automatic earlier affiliation from later biography.,R18,AFF-015;AFF-016;BOL-E19,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R19,Anderson Torres,bolsonaro,Dated denial and later explicit never-affiliated account contradict PSL/União labels.,personal_affiliation,Primary non-affiliation retained.,R19,AFF-017;AFF-018;AFF-019;OFF-051,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R20,Augusto Heleno,bolsonaro,PRP departure predates office entry and PRP incorporation.,personal_affiliation;organizational_event,Do not transfer an already departed member to Patriota.,R20;C065,AFF-010;AFF-011;BOL-E09;BOL-E10;BOL-E11;C065;LEG-ba6b7e4f1910,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R21,Fábio Faria,bolsonaro,PSD-to-PP affiliation March 24 2022 occurs during Communications service.,personal_affiliation,"Continuing service, separate personal change.",R21,AFF-026,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R22,Flávia Arruda; Jônathas Assunção,bolsonaro,Official responsibility roll places Flávia actual entry March 31 2021.,date;office_scope,Reject March 20 typo; April 6 ceremony is later. Jônathas covers preceding vacancy.,R22;C049;C059,C049;C059;OFF-026;OFF-027;OFF-028,Jônathas personal affiliation March 30 2021,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R23,João Roma,bolsonaro,Republicanos-to-PL affiliation March 27 2022 occurs during service.,personal_affiliation,Party change is not a new minister appointment.,R23,AFF-012;BOL-E22,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
