office_inventory_id,office_id,source_office_name,source_start,source_end,disposition,evidence_ids,rationale
OFFINV-140,all-presidente-da-republica,Presidente da República,2015-01-01,2026-03-20,excluded_by_scope_rule,OFF-004;OFF-013;OFF-019;OFF-035,No contribution by presidency alone.
OFFINV-142,all-secretarios-executivos-assessores-autarquias-comandantes-militares,Secretários executivos; assessores; autarquias; comandantes militares,2015-01-01,2026-03-20,excluded_by_scope_rule,OFF-004;OFF-013;OFF-019;OFF-035,Excluded by underlying substantive role; independently evidenced exercise of vacant included office can qualify.
OFFINV-141,all-vice-presidente-da-republica,Vice-Presidente da República,2015-01-01,2026-03-20,excluded_by_scope_rule,OFF-004;OFF-013;OFF-019;OFF-035,No contribution by vice-presidency alone; Alckmin2023 qualifies independently throughMDIC.
OFFINV-138,cross_administration-banco-central,Presidência do Banco Central,2021-02-25,2026-03-20,excluded_by_scope_rule,OFF-020,Same agency continues but president no longer Minister of State.
OFFINV-136,temer-ministro-extraordinario-de-coordenacao-da-transicao,Ministro Extraordinário de Coordenação da Transição,2018-11-05,2019-01-01,excluded_by_scope_rule,OFF-031;OFF-032;OFF-033,Onyx actual Minister of State; continuity toadministration boundary provisional pending termination act.
OFFINV-137,bolsonaro-coordenacao-da-transicao-cetg-vii,Coordenação da Transição CETG-VII,2022-11-04,2023-01-01,excluded_by_scope_rule,OFF-031;OFF-034,"Alckmin coordinate role is CETG, not Minister of State; limited TCU hierarchical equivalence does not establish cabinet status."
OFFINV-139,lula_3-secretaria-para-apoio-a-reconstrucao-do-rs-da-casa-civil,Secretaria para Apoio à Reconstrução do RS da Casa Civil,2024-09-12,2026-03-20,excluded_by_scope_rule,OFF-038;OFF-039,"Exclusion applies whenever subordinate CCE office exists; end here is observation clipping, not claimed office survival."
OFFINV-005,dilma_2-agricultura,"Ministério da Agricultura, Pecuária e Abastecimento",2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-001,dilma_2-agu,Advocacia-Geral da União,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-033,dilma_2-aviacao-civil,Secretaria de Aviação Civil,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-029,dilma_2-banco-central,Presidente do Banco Central do Brasil,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
