gap_id,office_id,administration_id,start_inclusive,end_exclusive,state,evidence_ids,rationale
gap-338339209be8,bolsonaro-secretaria-geral,bolsonaro,2019-06-20,2019-06-21,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-0f706e8bf05b,bolsonaro-cidadania,bolsonaro,2020-02-14,2020-02-18,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-191906ee0aa7,bolsonaro-casa-civil,bolsonaro,2020-02-14,2020-02-18,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-5d91b70c9644,bolsonaro-saude,bolsonaro,2020-04-16,2020-04-17,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-d961ba1443b8,bolsonaro-agu,bolsonaro,2020-04-27,2020-04-29,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-dbf1e0074c70,bolsonaro-justica,bolsonaro,2020-04-24,2020-04-29,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-3eff7d6cf966,bolsonaro-saude,bolsonaro,2020-05-15,2020-05-16,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-d7f698a7616a,bolsonaro-comunicacoes,bolsonaro,2020-06-10,2020-06-17,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-341700ad454b,bolsonaro-justica,bolsonaro,2021-03-29,2021-03-30,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-6d577977c840,bolsonaro-agu,bolsonaro,2021-03-29,2021-03-30,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-abb1a128205d,bolsonaro-secretaria-governo,bolsonaro,2021-03-29,2021-03-31,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-dc0d1a34d9b3,bolsonaro-casa-civil,bolsonaro,2021-03-29,2021-04-01,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
gap-75d2cc0f0c95,bolsonaro-relacoes-exteriores,bolsonaro,2021-03-29,2021-04-06,UNKNOWN_OCCUPANCY,OFFICE-COVERAGE-SCREEN,Dated eligible office lacks verified occupant; source gap is not proof of vacancy.
